k,eps,Option1,Option2,D_0,Lambdamin,Lambdamax,Increasing,RBDeval,ETol,ps,Elapsed Time
1.14,0.005,1,2,0.7,1.03515625,1.0359375,1,-0.000324524,0.001,0.1,11.9399448
1.14,0.01,1,2,0.7,1.034375,1.03515625,1,-6.67E-05,0.001,0.1,12.4411218
1.14,0.03,1,2,0.7,1.03203125,1.0328125,1,8.30E-05,0.001,0.1,13.3997163
1.14,0.05,1,2,0.7,1.0296875,1.03046875,1,0.000237953,0.001,0.1,23.5902814
1.14,0.075,1,2,0.7,1.02734375,1.028125,1,-0.000216658,0.001,0.1,21.4042133
1.14,0.1,1,2,0.7,1.02421875,1.025,1,0.000239457,0.001,0.1,20.295374
1.14,0.15,1,2,0.7,1.01875,1.01953125,1,0.00028612,0.001,0.1,19.8547046
1.14,0.2,1,2,0.7,1.01328125,1.0140625,1,0.000425892,0.001,0.1,19.494628
1.14,0.25,1,2,0.7,1.00859375,1.009375,1,-0.000299502,0.001,0.1,16.9158924
1.14,0.3,1,2,0.7,1.003125,1.00390625,1,-7.86E-05,0.001,0.1,12.0435912
1.14,0.35,1,2,0.7,0.99765625,0.9984375,1,0.000264228,0.001,0.1,11.8424036
1.14,0.4,1,2,0.7,0.99296875,0.99375,1,-0.00028594,0.001,0.1,12.2152568
1.14,0.45,1,2,0.7,0.9875,0.98828125,1,0.00010935,0.001,0.1,11.2817632
1.14,0.5,1,2,0.7,0.9828125,0.98359375,1,-0.000330225,0.001,0.1,11.6151088
1.14,0.55,1,2,0.7,0.97734375,0.978125,1,0.000280641,0.001,0.1,12.0368431
1.14,0.6,1,2,0.7,0.97265625,0.9734375,1,-3.87E-05,0.001,0.1,11.8324306
1.14,0.65,1,2,0.7,0.96796875,0.96875,1,-0.00030251,0.001,0.1,12.3069219
1.14,0.7,1,2,0.7,0.9625,0.96328125,1,0.000377798,0.001,0.1,12.7391716
1.14,0.75,1,2,0.7,0.9578125,0.95859375,1,0.000224716,0.001,0.1,18.1609114
1.14,0.8,1,2,0.7,0.953125,0.95390625,1,0.000127168,0.001,0.1,12.0128112
1.14,0.85,1,2,0.7,0.9484375,0.94921875,1,8.52E-05,0.001,0.1,14.2295838
1.14,0.9,1,2,0.7,0.94375,0.94453125,1,9.87E-05,0.001,0.1,13.0240887
1.14,0.95,1,2,0.7,0.9390625,0.93984375,1,0.000167865,0.001,0.1,12.6829145
1.14,1,1,2,0.7,0.934375,0.93515625,1,0.000292596,0.001,0.1,11.3784844
1.16,0.005,1,2,0.7,1.0390625,1.03984375,1,-5.16E-07,0.001,0.1,12.4101178
1.16,0.01,1,2,0.7,1.03828125,1.0390625,1,0.000193176,0.001,0.1,12.391697
1.16,0.03,1,2,0.7,1.0359375,1.03671875,1,6.08E-05,0.001,0.1,11.7776267
1.16,0.05,1,2,0.7,1.03359375,1.034375,1,-5.27E-05,0.001,0.1,12.2261865
1.16,0.075,1,2,0.7,1.03046875,1.03125,1,4.78E-05,0.001,0.1,12.0892764
1.16,0.1,1,2,0.7,1.02734375,1.028125,1,0.000168827,0.001,0.1,11.8722392
1.16,0.15,1,2,0.7,1.021875,1.02265625,1,-0.000467552,0.001,0.1,12.039556
1.16,0.2,1,2,0.7,1.015625,1.01640625,1,-9.20E-05,0.001,0.1,12.4100278
1.16,0.25,1,2,0.7,1.009375,1.01015625,1,0.000365835,0.001,0.1,12.3388518
1.16,0.3,1,2,0.7,1.00390625,1.0046875,1,-6.80E-07,0.001,0.1,12.0863982
1.16,0.35,1,2,0.7,0.9984375,0.99921875,1,-0.000359635,0.001,0.1,11.0775745
1.16,0.4,1,2,0.7,0.9921875,0.99296875,1,0.000335125,0.001,0.1,11.1295034
1.16,0.45,1,2,0.7,0.98671875,0.9875,1,0.000206749,0.001,0.1,13.2551807
1.16,0.5,1,2,0.7,0.98125,0.98203125,1,5.36E-05,0.001,0.1,18.4315132
1.16,0.55,1,2,0.7,0.97578125,0.9765625,1,8.08E-05,0.001,0.1,15.365857
1.16,0.6,1,2,0.7,0.9703125,0.97109375,1,6.16E-05,0.001,0.1,15.2742819
1.16,0.65,1,2,0.7,0.96484375,0.965625,1,0.000244411,0.001,0.1,18.0812107
1.16,0.7,1,2,0.7,0.959375,0.96015625,1,0.000359329,0.001,0.1,38.3994923
1.16,0.75,1,2,0.7,0.9546875,0.95546875,1,-0.000367536,0.001,0.1,13.1315178
1.16,0.8,1,2,0.7,0.94921875,0.95,1,4.38E-05,0.001,0.1,17.7657589
1.16,0.85,1,2,0.7,0.94375,0.94453125,1,0.000354996,0.001,0.1,15.4957312
1.16,0.9,1,2,0.7,0.9390625,0.93984375,1,-0.000174578,0.001,0.1,17.2069126
1.16,0.95,1,2,0.7,0.93359375,0.934375,1,0.00046563,0.001,0.1,19.1888992
1.16,1,1,2,0.7,0.92890625,0.9296875,1,7.14E-05,0.001,0.1,13.9212365
1.18,0.005,1,2,0.7,1.04296875,1.04375,1,0.000125283,0.001,0.1,16.3244691
1.18,0.01,1,2,0.7,1.0421875,1.04296875,1,0.000253419,0.001,0.1,17.2709495
